ticket_id,customer_id,created_date,channel,category,priority,status,resolution_time_hours,satisfaction_rating,related_order_id
TCK00001,CUST00271,2026-09-04 11:57:44.130675,Email,General Inquiry,Low,Resolved,17.7,,
TCK00002,CUST00089,2026-05-21 21:57:44.130675,Phone,General Inquiry,Low,Open,,,
TCK00003,CUST00093,2026-06-29 11:57:44.130675,Instagram DM,Wrong Item,Low,Resolved,22.3,5.0,ORD001012
TCK00004,CUST00244,2026-06-23 23:57:44.130675,Email,Payment Issue,Medium,Resolved,70.6,,ORD000273
TCK00005,CUST00035,2026-05-17 21:57:44.130675,Phone,Product Defect,Low,Resolved,30.2,,ORD000177
TCK00006,CUST00120,2026-08-15 09:57:44.130675,Email,Delivery Issue,Low,Resolved,42.3,5.0,
TCK00007,CUST00264,2026-07-27 00:57:44.130675,Instagram DM,Refund Request,Medium,Resolved,30.7,1.0,ORD000963
TCK00008,CUST00053,2026-05-19 04:57:44.130675,Facebook Messenger,Delivery Issue,Medium,Escalated,69.6,,ORD000594
TCK00009,CUST00039,2026-06-30 04:57:44.130675,Facebook Messenger,Order Delay,High,Open,,,
TCK00010,CUST00047,2026-08-25 06:57:44.130675,Email,Product Defect,Medium,Resolved,40.5,4.0,ORD000211
TCK00011,CUST00110,2026-08-24 23:57:44.130675,Phone,Product Defect,Medium,Escalated,14.9,,
TCK00012,CUST00252,2026-08-17 02:57:44.130675,Instagram DM,General Inquiry,Low,Open,,,ORD001034
TCK00013,CUST00234,2026-07-10 11:57:44.130675,Phone,Order Delay,High,Resolved,27.6,4.0,ORD000141
TCK00014,CUST00240,2026-09-08 08:57:44.130675,WhatsApp,Delivery Issue,High,Resolved,60.3,5.0,ORD000396
TCK00015,CUST00296,2026-09-13 21:57:44.130675,WhatsApp,Order Delay,Urgent,Open,,,ORD001134
TCK00016,CUST00042,2026-09-14 03:57:44.130675,WhatsApp,General Inquiry,High,Resolved,18.7,4.0,ORD000886
TCK00017,CUST00155,2026-07-15 02:57:44.130675,Phone,Product Defect,Urgent,Resolved,12.8,4.0,
TCK00018,CUST00248,2026-06-10 00:57:44.130675,Email,General Inquiry,Medium,Open,,,
TCK00019,CUST00287,2026-07-20 04:57:44.130675,Instagram DM,Order Delay,Medium,Resolved,4.5,4.0,ORD000761
TCK00020,CUST00285,2026-09-13 22:57:44.130675,WhatsApp,General Inquiry,Urgent,Resolved,6.7,3.0,ORD000300
TCK00021,CUST00208,2026-07-30 21:57:44.130675,Phone,Delivery Issue,Low,Escalated,29.8,,ORD001432
TCK00022,CUST00111,2026-09-11 08:57:44.130675,Instagram DM,Delivery Issue,Urgent,Resolved,39.8,,ORD000617
TCK00023,CUST00056,2026-07-08 09:57:44.130675,WhatsApp,Payment Issue,Low,Escalated,10.1,,
TCK00024,CUST00011,2026-08-21 04:57:44.130675,Phone,Order Delay,High,Resolved,60.0,,ORD000312
TCK00025,CUST00214,2026-07-24 07:57:44.130675,Phone,Payment Issue,High,Escalated,54.3,,ORD000861
TCK00026,CUST00264,2026-05-22 04:57:44.130675,Facebook Messenger,Wrong Item,Medium,Resolved,41.3,3.0,
TCK00027,CUST00156,2026-08-14 03:57:44.130675,Instagram DM,Refund Request,High,Open,,,
TCK00028,CUST00178,2026-06-09 06:57:44.130675,WhatsApp,Payment Issue,Medium,Open,,,ORD001225
TCK00029,CUST00163,2026-08-29 02:57:44.130675,Phone,Product Defect,Medium,Open,,,ORD000190
TCK00030,CUST00258,2026-06-21 22:57:44.130675,WhatsApp,Refund Request,Urgent,Escalated,37.0,,ORD001442
TCK00031,CUST00021,2026-07-30 02:57:44.130675,Facebook Messenger,Wrong Item,Low,Resolved,61.9,3.0,
TCK00032,CUST00092,2026-05-24 23:57:44.130675,Phone,General Inquiry,Urgent,Open,,,ORD001477
TCK00033,CUST00131,2026-06-03 10:57:44.130675,Email,Product Defect,Urgent,Open,,,ORD000209
TCK00034,CUST00017,2026-06-15 00:57:44.130675,Phone,Payment Issue,High,Resolved,44.2,5.0,
TCK00035,CUST00117,2026-05-23 08:57:44.130675,Email,Order Delay,Medium,Open,,,ORD001434
TCK00036,CUST00205,2026-06-06 01:57:44.130675,Phone,Wrong Item,Low,Open,,,ORD000047
TCK00037,CUST00013,2026-06-12 04:57:44.130675,WhatsApp,Delivery Issue,High,Escalated,42.9,,
TCK00038,CUST00209,2026-09-07 00:57:44.130675,Instagram DM,Product Defect,Low,Open,,,ORD001185
TCK00039,CUST00182,2026-06-14 01:57:44.130675,Phone,Product Defect,High,Resolved,11.2,4.0,ORD000632
TCK00040,CUST00297,2026-07-20 07:57:44.130675,Facebook Messenger,Order Delay,Low,Resolved,13.8,4.0,
TCK00041,CUST00300,2026-08-31 09:57:44.130675,Email,Product Defect,Medium,Resolved,1.0,5.0,
TCK00042,CUST00006,2026-05-22 00:57:44.130675,Email,Product Defect,Low,Open,,,
TCK00043,CUST00276,2026-06-12 07:57:44.130675,Instagram DM,Product Defect,Medium,Resolved,45.7,4.0,ORD001472
TCK00044,CUST00281,2026-06-03 02:57:44.130675,WhatsApp,Wrong Item,Medium,Open,,,ORD001053
TCK00045,CUST00059,2026-07-24 09:57:44.130675,Phone,Refund Request,Medium,Resolved,54.3,5.0,ORD000025
TCK00046,CUST00183,2026-08-06 03:57:44.130675,Email,Wrong Item,Medium,Resolved,26.9,3.0,ORD001272
TCK00047,CUST00238,2026-08-11 08:57:44.130675,Instagram DM,Delivery Issue,Low,Escalated,57.1,,ORD001113
TCK00048,CUST00231,2026-06-13 08:57:44.130675,Facebook Messenger,Delivery Issue,Urgent,Resolved,45.5,5.0,ORD000503
TCK00049,CUST00068,2026-08-04 00:57:44.130675,Instagram DM,General Inquiry,Low,Resolved,52.4,1.0,ORD000583
TCK00050,CUST00266,2026-08-04 11:57:44.130675,Facebook Messenger,Delivery Issue,Low,Escalated,34.0,,
TCK00051,CUST00262,2026-05-20 00:57:44.130675,Email,Payment Issue,Medium,Resolved,7.3,5.0,
TCK00052,CUST00016,2026-08-28 02:57:44.130675,Facebook Messenger,Wrong Item,Low,Resolved,49.2,5.0,ORD000793
TCK00053,CUST00235,2026-07-24 03:57:44.130675,Facebook Messenger,Wrong Item,Medium,Resolved,29.3,,ORD000204
TCK00054,CUST00220,2026-09-01 06:57:44.130675,Facebook Messenger,Product Defect,Medium,Escalated,49.0,,ORD000171
TCK00055,CUST00172,2026-05-29 11:57:44.130675,Facebook Messenger,Wrong Item,Low,Resolved,17.0,,ORD001229
TCK00056,CUST00206,2026-05-31 02:57:44.130675,Facebook Messenger,Delivery Issue,Medium,Resolved,41.0,4.0,ORD001005
TCK00057,CUST00173,2026-06-16 06:57:44.130675,Instagram DM,Wrong Item,Low,Escalated,18.9,,ORD000575
TCK00058,CUST00223,2026-06-28 09:57:44.130675,Email,Product Defect,Low,Resolved,30.2,1.0,ORD001460
TCK00059,CUST00047,2026-05-21 21:57:44.130675,WhatsApp,Delivery Issue,Low,Resolved,53.3,,
TCK00060,CUST00114,2026-07-05 07:57:44.130675,Facebook Messenger,Wrong Item,Medium,Open,,,
TCK00061,CUST00105,2026-07-16 00:57:44.130675,Email,General Inquiry,Medium,Resolved,12.7,4.0,ORD000755
TCK00062,CUST00003,2026-07-11 07:57:44.130675,WhatsApp,General Inquiry,Low,Open,,,
TCK00063,CUST00012,2026-06-25 05:57:44.130675,Phone,Product Defect,Urgent,Escalated,31.3,,
TCK00064,CUST00230,2026-07-09 01:57:44.130675,Instagram DM,General Inquiry,Medium,Resolved,66.6,4.0,
TCK00065,CUST00144,2026-07-22 02:57:44.130675,WhatsApp,Refund Request,Urgent,Escalated,26.5,,
TCK00066,CUST00102,2026-08-26 10:57:44.130675,Phone,Order Delay,High,Escalated,48.5,,ORD001403
TCK00067,CUST00287,2026-08-10 07:57:44.130675,WhatsApp,Order Delay,Low,Resolved,46.2,,
