order_id,order_date,customer_id,product_id,quantity,unit_price,discount,total_amount,payment_method,channel,order_status
ORD000547,2026-05-17 22:56:44.130675,CUST00247,PROD0040,1,4051.74,607.76,3443.98,JazzCash,Marketplace,Delivered
ORD001208,2026-05-17 23:13:44.130675,CUST00285,PROD0021,1,5313.35,531.34,4782.01,JazzCash,Instagram,Cancelled
ORD000529,2026-05-17 23:32:44.130675,CUST00179,PROD0014,1,5951.29,0.0,5951.29,COD,Facebook,Delivered
ORD000244,2026-05-17 23:40:44.130675,CUST00171,PROD0020,1,1311.0,0.0,1311.0,JazzCash,WhatsApp,Cancelled
ORD000848,2026-05-18 00:30:44.130675,CUST00131,PROD0031,4,6503.48,0.0,26013.92,COD,Instagram,Returned
ORD000232,2026-05-18 01:53:44.130675,CUST00281,PROD0027,1,4072.3,0.0,4072.3,JazzCash,Marketplace,Cancelled
ORD000118,2026-05-18 02:08:44.130675,CUST00209,PROD0013,1,3836.91,0.0,3836.91,Bank Transfer,Facebook,Returned
ORD000471,2026-05-18 02:59:44.130675,CUST00232,PROD0041,4,627.43,0.0,2509.72,JazzCash,Marketplace,Delivered
ORD001253,2026-05-18 03:21:44.130675,CUST00157,PROD0001,4,3382.01,0.0,13528.04,COD,Marketplace,Returned
ORD001090,2026-05-18 03:56:44.130675,CUST00133,PROD0025,3,845.83,0.0,2537.49,Card,Marketplace,Pending
ORD001181,2026-05-18 04:48:44.130675,CUST00216,PROD0033,1,3226.18,0.0,3226.18,EasyPaisa,Facebook,Delivered
ORD000668,2026-05-18 05:52:44.130675,CUST00206,PROD0023,3,8349.43,1252.41,23795.88,Card,Facebook,Returned
ORD000311,2026-05-18 06:42:44.130675,CUST00252,PROD0045,1,5135.47,0.0,5135.47,EasyPaisa,WhatsApp,Delivered
ORD000468,2026-05-18 06:46:44.130675,CUST00293,PROD0038,1,4805.71,720.86,4084.85,Card,WhatsApp,Delivered
ORD001114,2026-05-18 06:50:44.130675,CUST00172,PROD0060,3,1519.23,0.0,4557.69,EasyPaisa,Instagram,Cancelled
ORD000989,2026-05-18 07:34:44.130675,CUST00190,PROD0060,1,1519.23,0.0,1519.23,EasyPaisa,WhatsApp,Delivered
ORD001380,2026-05-18 07:59:44.130675,CUST00289,PROD0013,1,3836.91,0.0,3836.91,EasyPaisa,Marketplace,Cancelled
ORD001270,2026-05-18 12:12:44.130675,CUST00170,PROD0058,2,1138.07,227.61,2048.53,Card,WhatsApp,Pending
ORD000150,2026-05-18 22:30:44.130675,CUST00070,PROD0024,1,1137.57,0.0,1137.57,JazzCash,Website,Delivered
ORD000922,2026-05-19 00:19:44.130675,CUST00257,PROD0030,3,5388.9,0.0,16166.7,Bank Transfer,Instagram,Delivered
ORD000385,2026-05-19 00:30:44.130675,CUST00145,PROD0035,1,1003.11,50.16,952.95,JazzCash,WhatsApp,Delivered
ORD000320,2026-05-19 00:37:44.130675,CUST00026,PROD0003,1,4565.11,0.0,4565.11,JazzCash,Facebook,Delivered
ORD000622,2026-05-19 02:04:44.130675,CUST00070,PROD0026,3,1616.31,0.0,4848.93,JazzCash,WhatsApp,Delivered
ORD000798,2026-05-19 03:45:44.130675,CUST00145,PROD0004,1,2516.58,251.66,2264.92,EasyPaisa,Marketplace,Delivered
ORD000628,2026-05-19 03:49:44.130675,CUST00099,PROD0013,1,3836.91,0.0,3836.91,COD,Instagram,Delivered
ORD000301,2026-05-19 07:57:44.130675,CUST00035,PROD0045,4,5135.47,0.0,20541.88,COD,WhatsApp,Delivered
ORD000243,2026-05-19 08:09:44.130675,CUST00145,PROD0023,1,8349.43,0.0,8349.43,JazzCash,Facebook,Delivered
ORD000130,2026-05-19 08:10:44.130675,CUST00195,PROD0034,1,4718.01,0.0,4718.01,Bank Transfer,Facebook,Delivered
ORD000085,2026-05-19 08:12:44.130675,CUST00085,PROD0033,1,3226.18,0.0,3226.18,Bank Transfer,Instagram,Delivered
ORD001312,2026-05-19 09:33:44.130675,CUST00010,PROD0009,3,5596.77,1679.03,15111.28,JazzCash,WhatsApp,Delivered
ORD001395,2026-05-19 09:35:44.130675,CUST00154,PROD0028,3,6109.36,0.0,18328.08,JazzCash,WhatsApp,Delivered
ORD001020,2026-05-19 09:50:44.130675,CUST00278,PROD0046,2,5794.77,0.0,11589.54,Bank Transfer,Instagram,Delivered
ORD000769,2026-05-19 10:50:44.130675,CUST00023,PROD0025,1,845.83,0.0,845.83,Card,Instagram,Pending
ORD000796,2026-05-19 10:55:44.130675,CUST00159,PROD0035,1,1003.11,0.0,1003.11,Card,Marketplace,Delivered
ORD000217,2026-05-19 12:14:44.130675,CUST00212,PROD0013,1,3836.91,0.0,3836.91,Card,Instagram,Pending
ORD001172,2026-05-19 22:11:44.130675,CUST00166,PROD0019,1,4229.01,211.45,4017.56,EasyPaisa,Instagram,Delivered
ORD000485,2026-05-19 22:22:44.130675,CUST00060,PROD0056,2,1011.77,0.0,2023.54,COD,Instagram,Cancelled
ORD000490,2026-05-19 23:07:44.130675,CUST00079,PROD0050,1,3995.81,0.0,3995.81,EasyPaisa,WhatsApp,Delivered
ORD000034,2026-05-19 23:22:44.130675,CUST00212,PROD0008,4,2070.31,0.0,8281.24,COD,Marketplace,Returned
ORD000482,2026-05-19 23:44:44.130675,CUST00237,PROD0017,1,4081.04,204.05,3876.99,Card,Instagram,Pending
ORD000937,2026-05-20 01:49:44.130675,CUST00149,PROD0015,1,1683.11,0.0,1683.11,JazzCash,WhatsApp,Cancelled
ORD000357,2026-05-20 02:09:44.130675,CUST00033,PROD0023,1,8349.43,0.0,8349.43,COD,Instagram,Pending
ORD001183,2026-05-20 02:43:44.130675,CUST00166,PROD0042,2,7902.11,1580.42,14223.8,COD,Instagram,Pending
ORD000536,2026-05-20 02:47:44.130675,CUST00106,PROD0043,3,2961.93,0.0,8885.79,Card,Marketplace,Delivered
ORD000965,2026-05-20 04:57:44.130675,CUST00239,PROD0017,2,4081.04,0.0,8162.08,COD,Website,Delivered
ORD001093,2026-05-20 05:17:44.130675,CUST00153,PROD0018,1,3298.86,0.0,3298.86,COD,Marketplace,Delivered
ORD001071,2026-05-20 05:48:44.130675,CUST00234,PROD0011,1,5016.23,0.0,5016.23,Bank Transfer,Marketplace,Cancelled
ORD000265,2026-05-20 23:27:44.130675,CUST00058,PROD0056,3,1011.77,0.0,3035.31,JazzCash,WhatsApp,Delivered
ORD000996,2026-05-21 03:10:44.130675,CUST00145,PROD0013,1,3836.91,191.85,3645.06,Bank Transfer,WhatsApp,Cancelled
ORD000972,2026-05-21 03:35:44.130675,CUST00185,PROD0042,1,7902.11,0.0,7902.11,JazzCash,WhatsApp,Cancelled
ORD000049,2026-05-21 04:06:44.130675,CUST00028,PROD0028,2,6109.36,0.0,12218.72,COD,Instagram,Delivered
ORD000543,2026-05-21 04:37:44.130675,CUST00120,PROD0030,1,5388.9,0.0,5388.9,COD,Website,Returned
ORD001473,2026-05-21 05:22:44.130675,CUST00172,PROD0033,1,3226.18,0.0,3226.18,Bank Transfer,WhatsApp,Delivered
ORD001201,2026-05-21 06:05:44.130675,CUST00049,PROD0005,2,4099.95,0.0,8199.9,Card,WhatsApp,Pending
ORD001353,2026-05-21 08:24:44.130675,CUST00166,PROD0021,2,5313.35,0.0,10626.7,EasyPaisa,Instagram,Delivered
ORD001349,2026-05-21 08:38:44.130675,CUST00216,PROD0017,1,4081.04,0.0,4081.04,COD,Website,Delivered
ORD001332,2026-05-21 11:05:44.130675,CUST00163,PROD0048,2,3672.55,0.0,7345.1,EasyPaisa,Instagram,Delivered
ORD000835,2026-05-21 21:58:44.130675,CUST00079,PROD0016,1,1636.99,163.7,1473.29,JazzCash,Marketplace,Pending
ORD000706,2026-05-22 01:06:44.130675,CUST00154,PROD0007,2,4983.51,0.0,9967.02,Card,Instagram,Returned
ORD000161,2026-05-22 01:26:44.130675,CUST00049,PROD0050,4,3995.81,0.0,15983.24,Bank Transfer,Instagram,Delivered
ORD001085,2026-05-22 02:23:44.130675,CUST00092,PROD0020,1,1311.0,65.55,1245.45,Card,WhatsApp,Cancelled
ORD000115,2026-05-22 03:12:44.130675,CUST00001,PROD0045,1,5135.47,0.0,5135.47,Card,Facebook,Delivered
ORD001400,2026-05-22 03:16:44.130675,CUST00283,PROD0022,1,6250.14,937.52,5312.62,EasyPaisa,Instagram,Returned
ORD000014,2026-05-22 04:53:44.130675,CUST00131,PROD0008,1,2070.31,0.0,2070.31,Bank Transfer,Marketplace,Delivered
ORD000186,2026-05-22 05:19:44.130675,CUST00080,PROD0037,3,962.14,0.0,2886.42,Card,Website,Delivered
ORD000083,2026-05-22 06:13:44.130675,CUST00279,PROD0026,2,1616.31,0.0,3232.62,Bank Transfer,WhatsApp,Cancelled
ORD001493,2026-05-22 07:02:44.130675,CUST00021,PROD0011,3,5016.23,0.0,15048.69,Bank Transfer,Facebook,Pending
ORD000790,2026-05-22 07:45:44.130675,CUST00089,PROD0008,1,2070.31,207.03,1863.28,Bank Transfer,Instagram,Delivered
ORD000319,2026-05-22 09:06:44.130675,CUST00251,PROD0048,1,3672.55,367.26,3305.29,COD,WhatsApp,Returned
ORD000073,2026-05-22 22:33:44.130675,CUST00202,PROD0036,3,5478.6,0.0,16435.8,Bank Transfer,Marketplace,Delivered
ORD000869,2026-05-22 23:00:44.130675,CUST00156,PROD0056,1,1011.77,101.18,910.59,COD,Website,Delivered
ORD001461,2026-05-22 23:21:44.130675,CUST00070,PROD0016,1,1636.99,0.0,1636.99,COD,Website,Delivered
ORD000298,2026-05-22 23:55:44.130675,CUST00273,PROD0044,1,2357.35,0.0,2357.35,JazzCash,WhatsApp,Returned
ORD001271,2026-05-23 00:06:44.130675,CUST00127,PROD0015,1,1683.11,84.16,1598.95,Bank Transfer,Website,Delivered
ORD000367,2026-05-23 00:40:44.130675,CUST00283,PROD0045,1,5135.47,0.0,5135.47,COD,Website,Delivered
ORD000391,2026-05-23 01:03:44.130675,CUST00017,PROD0002,2,3739.31,373.93,7104.69,Bank Transfer,Marketplace,Delivered
ORD001234,2026-05-23 01:32:44.130675,CUST00080,PROD0021,4,5313.35,0.0,21253.4,JazzCash,Facebook,Delivered
ORD001422,2026-05-23 03:14:44.130675,CUST00202,PROD0058,2,1138.07,113.81,2162.33,JazzCash,WhatsApp,Cancelled
ORD000342,2026-05-23 05:43:44.130675,CUST00259,PROD0058,1,1138.07,170.71,967.36,COD,WhatsApp,Returned
ORD000019,2026-05-23 06:28:44.130675,CUST00107,PROD0023,2,8349.43,0.0,16698.86,EasyPaisa,Website,Delivered
ORD000088,2026-05-23 08:17:44.130675,CUST00053,PROD0031,3,6503.48,1951.04,17559.4,Bank Transfer,Website,Pending
ORD000615,2026-05-23 09:02:44.130675,CUST00148,PROD0057,1,6194.12,0.0,6194.12,EasyPaisa,Website,Cancelled
ORD001159,2026-05-23 10:39:44.130675,CUST00200,PROD0031,3,6503.48,0.0,19510.44,EasyPaisa,Instagram,Delivered
ORD001418,2026-05-23 11:17:44.130675,CUST00203,PROD0017,1,4081.04,204.05,3876.99,COD,Instagram,Cancelled
ORD000992,2026-05-23 11:44:44.130675,CUST00108,PROD0021,2,5313.35,1594.01,9032.69,EasyPaisa,Marketplace,Delivered
ORD001268,2026-05-23 12:10:44.130675,CUST00051,PROD0012,1,7018.87,0.0,7018.87,EasyPaisa,Instagram,Delivered
ORD000693,2026-05-23 23:29:44.130675,CUST00174,PROD0007,1,4983.51,0.0,4983.51,Bank Transfer,WhatsApp,Delivered
ORD000260,2026-05-23 23:58:44.130675,CUST00242,PROD0040,3,4051.74,0.0,12155.22,COD,Facebook,Delivered
ORD001044,2026-05-24 00:29:44.130675,CUST00226,PROD0056,1,1011.77,0.0,1011.77,EasyPaisa,WhatsApp,Delivered
ORD000067,2026-05-24 00:47:44.130675,CUST00129,PROD0046,1,5794.77,0.0,5794.77,Bank Transfer,Facebook,Returned
ORD000968,2026-05-24 01:04:44.130675,CUST00020,PROD0012,1,7018.87,0.0,7018.87,Card,Marketplace,Pending
ORD001091,2026-05-24 05:15:44.130675,CUST00021,PROD0040,2,4051.74,0.0,8103.48,COD,WhatsApp,Delivered
ORD000900,2026-05-24 05:16:44.130675,CUST00003,PROD0014,1,5951.29,0.0,5951.29,EasyPaisa,Website,Cancelled
ORD001455,2026-05-24 07:38:44.130675,CUST00091,PROD0005,1,4099.95,0.0,4099.95,JazzCash,Marketplace,Delivered
ORD000331,2026-05-24 08:20:44.130675,CUST00146,PROD0012,1,7018.87,701.89,6316.98,Card,WhatsApp,Delivered
ORD000446,2026-05-24 08:38:44.130675,CUST00095,PROD0021,1,5313.35,0.0,5313.35,EasyPaisa,Instagram,Delivered
ORD001320,2026-05-24 09:02:44.130675,CUST00199,PROD0028,2,6109.36,0.0,12218.72,JazzCash,Marketplace,Delivered
ORD000223,2026-05-24 09:30:44.130675,CUST00073,PROD0011,1,5016.23,0.0,5016.23,EasyPaisa,WhatsApp,Delivered
ORD000627,2026-05-24 10:21:44.130675,CUST00104,PROD0020,1,1311.0,0.0,1311.0,Card,Website,Delivered
ORD000562,2026-05-24 11:17:44.130675,CUST00222,PROD0028,2,6109.36,1221.87,10996.85,EasyPaisa,Website,Delivered
ORD001352,2026-05-24 11:17:44.130675,CUST00283,PROD0009,1,5596.77,0.0,5596.77,EasyPaisa,Website,Delivered
ORD000567,2026-05-24 11:18:44.130675,CUST00267,PROD0031,1,6503.48,0.0,6503.48,Card,Facebook,Pending
ORD000690,2026-05-24 11:56:44.130675,CUST00156,PROD0049,2,8791.84,1758.37,15825.31,EasyPaisa,Instagram,Returned
ORD000949,2026-05-24 23:00:44.130675,CUST00065,PROD0001,3,3382.01,0.0,10146.03,EasyPaisa,Instagram,Delivered
ORD000159,2026-05-25 02:46:44.130675,CUST00201,PROD0006,2,4713.7,1414.11,8013.29,COD,Marketplace,Delivered
ORD001357,2026-05-25 06:23:44.130675,CUST00203,PROD0049,1,8791.84,0.0,8791.84,Card,Marketplace,Pending
ORD001265,2026-05-25 06:50:44.130675,CUST00022,PROD0050,1,3995.81,0.0,3995.81,Card,Facebook,Delivered
ORD000966,2026-05-25 07:02:44.130675,CUST00142,PROD0041,2,627.43,0.0,1254.86,Bank Transfer,Marketplace,Delivered
ORD000417,2026-05-25 08:12:44.130675,CUST00127,PROD0023,4,8349.43,0.0,33397.72,Card,Website,Returned
ORD001160,2026-05-25 08:18:44.130675,CUST00142,PROD0039,1,4106.97,0.0,4106.97,Bank Transfer,Website,Delivered
ORD000289,2026-05-25 08:27:44.130675,CUST00297,PROD0020,2,1311.0,0.0,2622.0,Card,Marketplace,Delivered
ORD000510,2026-05-25 23:18:44.130675,CUST00162,PROD0050,1,3995.81,199.79,3796.02,EasyPaisa,Instagram,Delivered
ORD000923,2026-05-26 00:38:44.130675,CUST00078,PROD0058,2,1138.07,0.0,2276.14,JazzCash,Marketplace,Delivered
ORD001479,2026-05-26 00:51:44.130675,CUST00020,PROD0017,4,4081.04,0.0,16324.16,JazzCash,WhatsApp,Pending
ORD000076,2026-05-26 02:03:44.130675,CUST00102,PROD0042,1,7902.11,0.0,7902.11,Bank Transfer,WhatsApp,Delivered
ORD000237,2026-05-26 02:27:44.130675,CUST00069,PROD0005,2,4099.95,410.0,7789.9,COD,Website,Delivered
ORD000028,2026-05-26 02:38:44.130675,CUST00161,PROD0008,3,2070.31,0.0,6210.93,COD,Marketplace,Pending
ORD000392,2026-05-26 02:39:44.130675,CUST00006,PROD0031,1,6503.48,0.0,6503.48,COD,Facebook,Returned
ORD000494,2026-05-26 02:54:44.130675,CUST00214,PROD0002,1,3739.31,0.0,3739.31,EasyPaisa,Facebook,Delivered
ORD001301,2026-05-26 03:36:44.130675,CUST00162,PROD0010,4,683.9,0.0,2735.6,Bank Transfer,WhatsApp,Delivered
ORD000859,2026-05-26 04:15:44.130675,CUST00109,PROD0051,1,6557.75,0.0,6557.75,Bank Transfer,Instagram,Delivered
ORD000121,2026-05-26 04:37:44.130675,CUST00113,PROD0056,1,1011.77,0.0,1011.77,Card,Website,Delivered
ORD000855,2026-05-26 05:07:44.130675,CUST00018,PROD0023,1,8349.43,0.0,8349.43,Bank Transfer,Website,Returned
ORD000753,2026-05-26 05:23:44.130675,CUST00269,PROD0041,2,627.43,125.49,1129.37,Bank Transfer,Facebook,Delivered
ORD000312,2026-05-26 06:11:44.130675,CUST00002,PROD0055,2,5017.52,501.75,9533.29,EasyPaisa,WhatsApp,Delivered
ORD000700,2026-05-26 06:50:44.130675,CUST00300,PROD0035,2,1003.11,0.0,2006.22,Bank Transfer,Facebook,Pending
ORD000569,2026-05-26 10:05:44.130675,CUST00032,PROD0025,1,845.83,42.29,803.54,EasyPaisa,Facebook,Delivered
ORD000614,2026-05-26 11:22:44.130675,CUST00127,PROD0013,1,3836.91,0.0,3836.91,Bank Transfer,Website,Returned
ORD000642,2026-05-26 11:28:44.130675,CUST00036,PROD0021,1,5313.35,0.0,5313.35,Card,Facebook,Cancelled
ORD001119,2026-05-26 11:58:44.130675,CUST00106,PROD0059,1,1569.51,0.0,1569.51,Bank Transfer,WhatsApp,Delivered
ORD001355,2026-05-26 12:01:44.130675,CUST00072,PROD0047,2,2232.86,0.0,4465.72,Card,Facebook,Returned
ORD000788,2026-05-26 22:33:44.130675,CUST00214,PROD0010,1,683.9,0.0,683.9,Card,Instagram,Delivered
ORD000355,2026-05-26 23:07:44.130675,CUST00142,PROD0026,3,1616.31,0.0,4848.93,COD,Instagram,Delivered
ORD000755,2026-05-27 00:25:44.130675,CUST00261,PROD0044,1,2357.35,0.0,2357.35,EasyPaisa,Marketplace,Pending
ORD000985,2026-05-27 00:29:44.130675,CUST00272,PROD0028,1,6109.36,0.0,6109.36,EasyPaisa,WhatsApp,Delivered
ORD000597,2026-05-27 03:54:44.130675,CUST00043,PROD0012,1,7018.87,0.0,7018.87,JazzCash,Marketplace,Returned
ORD001040,2026-05-27 07:06:44.130675,CUST00053,PROD0036,1,5478.6,0.0,5478.6,Card,Website,Delivered
ORD000280,2026-05-27 07:58:44.130675,CUST00074,PROD0056,2,1011.77,0.0,2023.54,EasyPaisa,WhatsApp,Delivered
ORD000721,2026-05-27 09:12:44.130675,CUST00048,PROD0021,2,5313.35,0.0,10626.7,Card,Marketplace,Delivered
ORD000987,2026-05-27 09:55:44.130675,CUST00182,PROD0040,1,4051.74,0.0,4051.74,EasyPaisa,WhatsApp,Cancelled
ORD000178,2026-05-27 11:16:44.130675,CUST00040,PROD0040,1,4051.74,0.0,4051.74,Card,Marketplace,Delivered
ORD000082,2026-05-27 11:58:44.130675,CUST00260,PROD0047,3,2232.86,0.0,6698.58,COD,Marketplace,Returned
ORD000333,2026-05-27 12:12:44.130675,CUST00228,PROD0051,1,6557.75,0.0,6557.75,Bank Transfer,Marketplace,Delivered
ORD001499,2026-05-27 22:34:44.130675,CUST00061,PROD0030,1,5388.9,0.0,5388.9,Card,Facebook,Delivered
ORD001026,2026-05-27 23:32:44.130675,CUST00087,PROD0020,1,1311.0,65.55,1245.45,Card,WhatsApp,Returned
ORD001058,2026-05-28 00:25:44.130675,CUST00023,PROD0049,1,8791.84,0.0,8791.84,JazzCash,Marketplace,Delivered
ORD001086,2026-05-28 03:40:44.130675,CUST00052,PROD0034,2,4718.01,0.0,9436.02,EasyPaisa,Facebook,Delivered
ORD000663,2026-05-28 04:04:44.130675,CUST00142,PROD0056,2,1011.77,0.0,2023.54,COD,Website,Delivered
ORD001453,2026-05-28 06:56:44.130675,CUST00131,PROD0040,2,4051.74,0.0,8103.48,EasyPaisa,Instagram,Delivered
ORD001116,2026-05-28 07:33:44.130675,CUST00210,PROD0009,2,5596.77,0.0,11193.54,COD,Website,Returned
ORD000797,2026-05-28 07:33:44.130675,CUST00023,PROD0041,3,627.43,0.0,1882.29,Bank Transfer,WhatsApp,Delivered
ORD000809,2026-05-28 08:23:44.130675,CUST00260,PROD0055,2,5017.52,0.0,10035.04,EasyPaisa,Website,Cancelled
ORD001107,2026-05-28 08:28:44.130675,CUST00288,PROD0026,1,1616.31,161.63,1454.68,JazzCash,Facebook,Delivered
ORD000215,2026-05-28 09:46:44.130675,CUST00245,PROD0015,1,1683.11,0.0,1683.11,Card,Marketplace,Pending
ORD000553,2026-05-28 10:53:44.130675,CUST00040,PROD0046,1,5794.77,0.0,5794.77,Bank Transfer,Facebook,Pending
ORD000081,2026-05-28 11:14:44.130675,CUST00072,PROD0036,1,5478.6,0.0,5478.6,Bank Transfer,Instagram,Delivered
ORD000522,2026-05-28 22:24:44.130675,CUST00067,PROD0046,1,5794.77,0.0,5794.77,EasyPaisa,Instagram,Delivered
ORD001399,2026-05-28 23:12:44.130675,CUST00049,PROD0058,1,1138.07,0.0,1138.07,EasyPaisa,WhatsApp,Cancelled
