snapshot_date,product_id,warehouse_location,stock_in,stock_out,closing_stock,reorder_level
2026-05-17,PROD0001,Lahore-Hub,0,4,322,52
2026-05-17,PROD0002,Lahore-Hub,0,3,299,32
2026-05-17,PROD0003,Lahore-Hub,100,3,386,33
2026-05-17,PROD0004,Karachi-Main,0,3,139,29
2026-05-17,PROD0005,Karachi-Main,0,3,359,41
2026-05-17,PROD0006,Lahore-Hub,0,5,375,52
2026-05-17,PROD0007,Karachi-Main,0,3,231,37
2026-05-17,PROD0008,Lahore-Hub,0,5,182,53
2026-05-17,PROD0009,Lahore-Hub,0,2,320,45
2026-05-17,PROD0010,Karachi-Main,0,2,95,53
2026-05-17,PROD0011,Karachi-Main,0,5,261,57
2026-05-17,PROD0012,Karachi-Main,0,3,157,59
2026-05-17,PROD0013,Karachi-Main,0,3,277,59
2026-05-17,PROD0014,Lahore-Hub,50,3,225,32
2026-05-17,PROD0015,Lahore-Hub,0,6,250,47
2026-05-17,PROD0016,Lahore-Hub,0,6,107,22
2026-05-17,PROD0017,Lahore-Hub,0,3,102,49
2026-05-17,PROD0018,Karachi-Main,0,5,91,57
2026-05-17,PROD0019,Lahore-Hub,0,2,207,55
2026-05-17,PROD0020,Karachi-Main,0,4,275,38
2026-05-17,PROD0021,Karachi-Main,0,3,172,54
2026-05-17,PROD0022,Karachi-Main,0,2,332,49
2026-05-17,PROD0023,Karachi-Main,0,4,313,22
2026-05-17,PROD0024,Lahore-Hub,0,1,282,38
2026-05-17,PROD0025,Karachi-Main,0,3,242,41
2026-05-17,PROD0026,Lahore-Hub,0,1,309,21
2026-05-17,PROD0027,Lahore-Hub,100,3,245,46
2026-05-17,PROD0028,Lahore-Hub,0,3,244,57
2026-05-17,PROD0029,Lahore-Hub,0,1,295,60
2026-05-17,PROD0030,Lahore-Hub,0,2,239,24
2026-05-17,PROD0031,Lahore-Hub,0,4,366,50
2026-05-17,PROD0032,Karachi-Main,0,2,172,46
2026-05-17,PROD0033,Lahore-Hub,0,5,78,49
2026-05-17,PROD0034,Karachi-Main,0,0,164,58
2026-05-17,PROD0035,Karachi-Main,0,3,205,56
2026-05-17,PROD0036,Karachi-Main,0,2,290,34
2026-05-17,PROD0037,Lahore-Hub,0,0,127,40
2026-05-17,PROD0038,Lahore-Hub,100,2,427,57
2026-05-17,PROD0039,Lahore-Hub,0,2,249,34
2026-05-17,PROD0040,Lahore-Hub,20,4,171,48
2026-05-17,PROD0041,Karachi-Main,0,2,99,36
2026-05-17,PROD0042,Lahore-Hub,0,1,150,39
2026-05-17,PROD0043,Karachi-Main,0,1,201,22
2026-05-17,PROD0044,Karachi-Main,0,0,342,34
2026-05-17,PROD0045,Lahore-Hub,0,2,387,57
2026-05-17,PROD0046,Lahore-Hub,0,4,329,36
2026-05-17,PROD0047,Lahore-Hub,0,3,219,45
2026-05-17,PROD0048,Karachi-Main,0,5,178,36
2026-05-17,PROD0049,Karachi-Main,0,5,167,20
2026-05-17,PROD0050,Karachi-Main,0,3,290,53
2026-05-17,PROD0051,Lahore-Hub,0,4,95,34
2026-05-17,PROD0052,Lahore-Hub,0,1,83,22
2026-05-17,PROD0053,Karachi-Main,0,3,261,34
2026-05-17,PROD0054,Lahore-Hub,0,4,251,48
2026-05-17,PROD0055,Karachi-Main,100,4,490,35
2026-05-17,PROD0056,Karachi-Main,0,3,267,45
2026-05-17,PROD0057,Lahore-Hub,0,2,250,20
2026-05-17,PROD0058,Lahore-Hub,0,2,79,47
2026-05-17,PROD0059,Karachi-Main,100,3,230,23
2026-05-17,PROD0060,Lahore-Hub,0,3,324,24
2026-05-18,PROD0001,Lahore-Hub,0,4,318,52
2026-05-18,PROD0002,Karachi-Main,0,0,299,32
2026-05-18,PROD0003,Karachi-Main,0,2,384,33
2026-05-18,PROD0004,Lahore-Hub,0,4,135,29
2026-05-18,PROD0005,Lahore-Hub,0,2,357,41
2026-05-18,PROD0006,Lahore-Hub,0,4,371,52
2026-05-18,PROD0007,Lahore-Hub,0,3,228,37
2026-05-18,PROD0008,Lahore-Hub,0,2,180,53
2026-05-18,PROD0009,Karachi-Main,0,3,317,45
2026-05-18,PROD0010,Lahore-Hub,0,7,88,53
2026-05-18,PROD0011,Karachi-Main,0,3,258,57
2026-05-18,PROD0012,Karachi-Main,0,5,152,59
2026-05-18,PROD0013,Karachi-Main,0,8,269,59
2026-05-18,PROD0014,Lahore-Hub,0,1,224,32
2026-05-18,PROD0015,Karachi-Main,0,2,248,47
2026-05-18,PROD0016,Karachi-Main,0,2,105,22
2026-05-18,PROD0017,Karachi-Main,0,1,101,49
2026-05-18,PROD0018,Lahore-Hub,0,3,88,57
2026-05-18,PROD0019,Karachi-Main,0,4,203,55
2026-05-18,PROD0020,Lahore-Hub,0,1,274,38
2026-05-18,PROD0021,Lahore-Hub,0,7,165,54
2026-05-18,PROD0022,Karachi-Main,0,6,326,49
2026-05-18,PROD0023,Lahore-Hub,0,2,311,22
2026-05-18,PROD0024,Lahore-Hub,0,2,280,38
2026-05-18,PROD0025,Karachi-Main,0,1,241,41
2026-05-18,PROD0026,Karachi-Main,20,0,329,21
2026-05-18,PROD0027,Karachi-Main,0,4,241,46
2026-05-18,PROD0028,Lahore-Hub,0,3,241,57
2026-05-18,PROD0029,Karachi-Main,0,4,291,60
2026-05-18,PROD0030,Karachi-Main,0,5,234,24
2026-05-18,PROD0031,Karachi-Main,0,1,365,50
2026-05-18,PROD0032,Karachi-Main,0,1,171,46
2026-05-18,PROD0033,Karachi-Main,0,2,76,49
2026-05-18,PROD0034,Karachi-Main,0,6,158,58
2026-05-18,PROD0035,Karachi-Main,0,3,202,56
2026-05-18,PROD0036,Karachi-Main,0,3,287,34
2026-05-18,PROD0037,Lahore-Hub,0,2,125,40
2026-05-18,PROD0038,Karachi-Main,0,6,421,57
2026-05-18,PROD0039,Karachi-Main,0,1,248,34
2026-05-18,PROD0040,Lahore-Hub,0,3,168,48
2026-05-18,PROD0041,Lahore-Hub,0,1,98,36
2026-05-18,PROD0042,Lahore-Hub,0,2,148,39
2026-05-18,PROD0043,Lahore-Hub,0,4,197,22
2026-05-18,PROD0044,Lahore-Hub,0,5,337,34
2026-05-18,PROD0045,Karachi-Main,0,8,379,57
2026-05-18,PROD0046,Lahore-Hub,0,2,327,36
2026-05-18,PROD0047,Lahore-Hub,0,2,217,45
2026-05-18,PROD0048,Lahore-Hub,0,4,174,36
2026-05-18,PROD0049,Lahore-Hub,0,0,167,20
2026-05-18,PROD0050,Karachi-Main,0,4,286,53
2026-05-18,PROD0051,Karachi-Main,0,3,92,34
2026-05-18,PROD0052,Karachi-Main,0,6,77,22
2026-05-18,PROD0053,Karachi-Main,0,2,259,34
2026-05-18,PROD0054,Karachi-Main,0,2,249,48
2026-05-18,PROD0055,Lahore-Hub,0,3,487,35
2026-05-18,PROD0056,Lahore-Hub,0,6,261,45
2026-05-18,PROD0057,Karachi-Main,0,0,250,20
2026-05-18,PROD0058,Karachi-Main,0,4,75,47
2026-05-18,PROD0059,Karachi-Main,0,4,226,23
2026-05-18,PROD0060,Lahore-Hub,0,3,321,24
2026-05-19,PROD0001,Karachi-Main,0,4,314,52
2026-05-19,PROD0002,Karachi-Main,50,4,345,32
2026-05-19,PROD0003,Lahore-Hub,0,4,380,33
2026-05-19,PROD0004,Lahore-Hub,0,1,134,29
2026-05-19,PROD0005,Lahore-Hub,0,5,352,41
2026-05-19,PROD0006,Karachi-Main,0,6,365,52
